id,name,category_id,created_at,updated_at
467,"Miami Heat",1,2024-07-01T11:26:58Z,2025-11-24T07:56:38Z
516,"New York Rangers",1,1970-01-01T00:00:00Z,2025-11-24T07:56:38Z
433,"Los Angeles Lakers",1,2024-07-01T11:26:58Z,2025-11-24T07:56:38Z
444,"Manchester City FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:38Z
756,"Tottenham Hotspur FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:38Z
46,"AC Milan",1,1970-01-01T00:00:00Z,2025-11-24T07:56:38Z
422,"Liverpool FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:38Z
1836,"Chelsea FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:38Z
306,"Golden State Warriors",1,1970-01-01T00:00:00Z,2025-11-24T07:56:39Z
1851,"France Rugby",1,1970-01-01T00:00:00Z,2025-11-24T07:56:39Z
277,"FC Inter Milan",1,1970-01-01T00:00:00Z,2025-11-24T07:56:38Z
445,"Manchester United FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:38Z
1835,"Arsenal FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:39Z
352,"Indiana Pacers",1,2024-07-01T11:26:58Z,2025-11-24T07:56:39Z
598,"Real Madrid CF",1,1970-01-01T00:00:00Z,2025-11-24T07:56:38Z
782,"Vancouver Canucks",1,1970-01-01T00:00:00Z,2025-11-24T07:56:39Z
484,"Montreal Canadiens",1,1970-01-01T00:00:00Z,2025-11-24T07:56:39Z
295,"Fulham FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:39Z
230,"Detroit Pistons",1,2024-07-01T11:26:58Z,2025-11-24T07:56:39Z
511,"New York Islanders",1,1970-01-01T00:00:00Z,2025-11-24T07:56:39Z
208,"Crystal Palace FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:39Z
81,"Aston Villa FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:39Z
190,"Cleveland Cavaliers",1,1970-01-01T00:00:00Z,2025-11-24T07:56:40Z
520,"Newcastle United FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:39Z
1849,"England Rugby",1,1970-01-01T00:00:00Z,2025-11-24T07:56:41Z
505,"New Jersey Devils",1,1970-01-01T00:00:00Z,2025-11-24T07:56:40Z
512,"New York Jets",1,1970-01-01T00:00:00Z,2025-11-24T07:56:40Z
381,"Juventus FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:40Z
268,"Everton FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:40Z
